Date,Time,Weekday,CPU_Usage,Disk_Activity_KB,Idle
2025-03-22,13:42:52,Saturday,0.0,28.0,0
2025-03-22,13:42:58,Saturday,0.0,0.0,0
2025-03-22,13:43:04,Saturday,8.8,21465.0,0
2025-03-22,13:43:10,Saturday,10.8,15444.0,0
2025-03-22,13:43:16,Saturday,34.9,12688.5,0
2025-03-22,13:43:22,Saturday,11.8,633.5,0
2025-03-22,13:43:28,Saturday,7.7,3763.0,0
2025-03-22,13:43:34,Saturday,11.5,3176.0,0
2025-03-22,13:43:41,Saturday,8.8,4482.5,0
2025-03-22,13:43:47,Saturday,19.1,1344.0,0
2025-03-22,13:43:53,Saturday,0.0,180.0,0
2025-03-22,13:43:59,Saturday,0.0,44.0,0
2025-03-22,13:44:05,Saturday,1.4,28.0,0
2025-03-22,13:44:11,Saturday,0.0,136.0,0
2025-03-22,13:44:17,Saturday,3.1,276.0,0
2025-03-22,13:44:23,Saturday,4.8,24.0,0
2025-03-22,13:44:29,Saturday,1.4,60.0,0
2025-03-22,13:44:36,Saturday,0.0,48.0,0
2025-03-22,13:44:42,Saturday,0.0,16.0,0
2025-03-22,13:44:48,Saturday,4.1,132.0,0
2025-03-22,13:44:54,Saturday,0.0,8.0,0
2025-03-22,13:45:00,Saturday,0.0,24.0,0
2025-03-22,13:45:06,Saturday,0.0,0.0,0
2025-03-22,13:45:12,Saturday,4.9,228.0,0
2025-03-22,13:45:18,Saturday,2.8,4.0,0
2025-03-22,13:45:24,Saturday,0.0,28.0,0
2025-03-22,13:45:31,Saturday,1.3,0.0,0
2025-03-22,13:45:37,Saturday,2.7,8.0,0
2025-03-22,13:45:43,Saturday,0.0,0.0,0
2025-03-22,13:45:49,Saturday,3.8,0.0,0
2025-03-22,13:45:55,Saturday,0.0,0.0,0
2025-03-22,13:46:01,Saturday,0.0,8.0,0
2025-03-22,13:46:07,Saturday,0.0,0.0,0
2025-03-22,13:46:13,Saturday,0.0,8.0,0
2025-03-22,13:46:19,Saturday,2.6,0.0,0
2025-03-22,13:46:25,Saturday,0.0,8.0,0
2025-03-22,13:46:32,Saturday,0.0,76.0,0
2025-03-22,13:46:38,Saturday,2.4,0.0,0
2025-03-22,13:46:44,Saturday,3.9,100.0,0
2025-03-22,13:46:50,Saturday,5.4,0.0,0
2025-03-22,13:46:56,Saturday,0.0,24.0,0
2025-03-22,13:47:02,Saturday,0.0,4.0,0
2025-03-22,13:47:08,Saturday,1.4,32.0,0
2025-03-22,13:47:14,Saturday,0.0,104.0,0
2025-03-22,13:47:20,Saturday,2.4,52.0,0
2025-03-22,13:47:27,Saturday,0.0,12.0,0
2025-03-22,13:47:33,Saturday,0.0,8.0,0
2025-03-22,13:47:39,Saturday,1.4,0.0,0
2025-03-22,13:47:45,Saturday,0.0,24.0,0
2025-03-22,13:47:51,Saturday,4.1,0.0,0
2025-03-22,13:47:57,Saturday,1.3,28.0,0
2025-03-22,13:48:03,Saturday,2.7,0.0,0
2025-03-22,13:48:09,Saturday,0.0,40.0,0
2025-03-22,13:48:15,Saturday,0.0,144.0,0
2025-03-22,13:48:22,Saturday,1.3,0.0,0
2025-03-22,13:48:28,Saturday,0.0,0.0,1
2025-03-22,13:48:34,Saturday,2.7,0.0,1
2025-03-22,13:48:40,Saturday,0.0,136.0,1
2025-03-22,13:48:46,Saturday,0.0,12.0,1
2025-03-22,13:48:52,Saturday,1.2,0.0,1
2025-03-22,13:48:58,Saturday,0.0,8.0,1
2025-03-22,13:49:04,Saturday,0.0,540.0,0
2025-03-22,13:49:10,Saturday,0.0,92.0,1
2025-03-22,13:49:17,Saturday,5.3,56.0,1
2025-03-22,13:49:23,Saturday,1.2,0.0,1
2025-03-22,13:49:29,Saturday,4.0,56.0,1
2025-03-22,13:49:35,Saturday,0.0,140.0,1
2025-03-22,13:49:41,Saturday,2.7,252.0,0
2025-03-22,13:49:47,Saturday,0.0,24.0,1
2025-03-22,13:49:53,Saturday,3.9,0.0,1
2025-03-22,13:49:59,Saturday,0.0,96.0,1
2025-03-22,13:50:05,Saturday,0.0,20.0,1
2025-03-22,13:50:12,Saturday,0.0,0.0,1
2025-03-22,13:50:18,Saturday,0.0,32.0,1
2025-03-22,13:50:24,Saturday,2.7,0.0,1
2025-03-22,13:50:30,Saturday,4.1,124.0,1
2025-03-22,13:50:36,Saturday,5.3,8.0,1
2025-03-22,13:50:42,Saturday,1.2,40.0,1
2025-03-22,13:50:48,Saturday,3.4,80.0,1
2025-03-22,13:50:54,Saturday,10.7,0.0,1
2025-03-22,13:51:00,Saturday,4.8,84.0,1
2025-03-22,13:51:06,Saturday,0.0,0.0,1
2025-03-22,13:51:13,Saturday,0.0,4.0,1
2025-03-22,13:51:19,Saturday,0.0,116.0,1
2025-03-22,13:51:25,Saturday,9.5,0.0,1
2025-03-22,13:51:31,Saturday,0.0,120.0,1
2025-03-22,13:51:37,Saturday,0.0,0.0,1
2025-03-22,13:51:43,Saturday,0.0,0.0,1
2025-03-22,13:51:49,Saturday,2.6,0.0,1
2025-03-22,13:51:55,Saturday,1.4,104.0,1
2025-03-22,13:52:01,Saturday,0.0,48.0,1
2025-03-22,13:52:08,Saturday,0.0,192.0,1
2025-03-22,13:52:14,Saturday,2.5,32.0,1
2025-03-22,13:52:20,Saturday,7.1,0.0,1
2025-03-22,13:52:26,Saturday,3.8,172.0,1
2025-03-22,13:52:32,Saturday,5.5,8.0,1
2025-03-22,13:52:38,Saturday,0.0,24.0,1
2025-03-22,13:52:44,Saturday,2.7,0.0,1
2025-03-22,13:52:50,Saturday,0.0,56.0,1
2025-03-22,13:52:56,Saturday,1.3,112.0,1
2025-03-22,13:53:03,Saturday,2.4,0.0,1
2025-03-22,13:53:09,Saturday,0.0,0.0,1
2025-03-22,13:53:15,Saturday,0.0,156.0,1
2025-03-22,13:53:21,Saturday,0.0,4.0,1
2025-03-22,13:53:27,Saturday,2.4,0.0,1
2025-03-22,13:53:33,Saturday,2.4,0.0,1
2025-03-22,13:53:39,Saturday,0.0,20.0,1
2025-03-22,13:53:45,Saturday,0.0,56.0,1
2025-03-22,13:53:51,Saturday,0.0,224.0,0
2025-03-22,13:53:58,Saturday,4.1,0.0,1
2025-03-22,13:54:04,Saturday,2.6,52.0,1
2025-03-22,13:54:10,Saturday,14.1,188.0,1
2025-03-22,13:54:16,Saturday,1.3,204.0,0
2025-03-22,13:54:22,Saturday,0.0,352.0,0
2025-03-22,13:54:28,Saturday,2.0,8.0,1
2025-03-22,13:54:34,Saturday,0.0,144.0,1
2025-03-22,13:54:40,Saturday,0.0,4.0,1
2025-03-22,13:54:46,Saturday,0.0,60.0,1
